trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
12905804,15:09:26,15:09:26,56,2,,0,0,0.3092
12905804,15:40:00,15:40:00,9069,20,,1,0,6.7659
12905804,15:10:34,15:10:34,12619,3,,0,0,0.5532
12905804,15:11:19,15:11:19,58,4,,0,0,0.7143
12905804,15:12:40,15:12:40,60,5,,0,0,1.0071
12905804,15:13:30,15:13:30,61,6,,0,0,1.1881
12905804,15:14:50,15:14:50,63,7,,0,0,1.4773
12905804,15:15:41,15:15:41,64,8,,0,0,1.6603
12905804,15:17:51,15:17:51,12040,9,,0,0,2.1283
12905805, 7:58:00, 7:58:00,55,1,,0,0,
12905805, 8:09:00, 8:09:00,10542,10,,0,0,2.4674
12905805, 8:10:34, 8:10:34,69,11,,0,0,2.8195
12905805, 8:11:20, 8:11:20,70,12,,0,0,2.9916
12905805, 8:12:56, 8:12:56,72,13,,0,0,3.3497
12905805, 8:18:39, 8:18:39,73,14,,0,0,4.6264
12905805, 8:19:49, 8:19:49,75,15,,0,0,4.8874
12905805, 8:21:07, 8:21:07,11881,16,,0,0,5.1794
12905805, 8:22:14, 8:22:14,12603,17,,0,0,5.4291
12905805, 8:23:06, 8:23:06,30,18,,0,0,5.6229
12905805, 8:24:00, 8:24:00,31,19,,0,0,5.7926
12905805, 7:59:23, 7:59:23,56,2,,0,0,0.3092
12905805, 8:27:00, 8:27:00,9069,20,,1,0,6.7659
12905805, 8:00:28, 8:00:28,12619,3,,0,0,0.5532
12905805, 8:01:11, 8:01:11,58,4,,0,0,0.7143
12905805, 8:02:29, 8:02:29,60,5,,0,0,1.0071
12905805, 8:03:17, 8:03:17,61,6,,0,0,1.1881
12905805, 8:04:34, 8:04:34,63,7,,0,0,1.4773
12905805, 8:05:23, 8:05:23,64,8,,0,0,1.6603
12905805, 8:07:29, 8:07:29,12040,9,,0,0,2.1283
12905806, 7:25:00, 7:25:00,55,1,,0,0,
12905806, 7:35:09, 7:35:09,10542,10,,0,0,2.4674
12905806, 7:36:36, 7:36:36,69,11,,0,0,2.8195
12905806, 7:37:18, 7:37:18,70,12,,0,0,2.9916
12905806, 7:38:47, 7:38:47,72,13,,0,0,3.3497
12905806, 7:44:04, 7:44:04,73,14,,0,0,4.6264
12905806, 7:45:08, 7:45:08,75,15,,0,0,4.8874
12905806, 7:46:20, 7:46:20,11881,16,,0,0,5.1794
12905806, 7:47:22, 7:47:22,12603,17,,0,0,5.4291
12905806, 7:48:10, 7:48:10,30,18,,0,0,5.6229
12905806, 7:49:00, 7:49:00,31,19,,0,0,5.7926
12905806, 7:26:16, 7:26:16,56,2,,0,0,0.3092
12905806, 7:52:00, 7:52:00,9069,20,,1,0,6.7659
12905806, 7:27:16, 7:27:16,12619,3,,0,0,0.5532
12905806, 7:27:56, 7:27:56,58,4,,0,0,0.7143
12905806, 7:29:08, 7:29:08,60,5,,0,0,1.0071
12905806, 7:29:53, 7:29:53,61,6,,0,0,1.1881
12905806, 7:31:04, 7:31:04,63,7,,0,0,1.4773
12905806, 7:31:49, 7:31:49,64,8,,0,0,1.6603
12905806, 7:33:45, 7:33:45,12040,9,,0,0,2.1283
12905807,20:06:00,20:06:00,646,1,,0,0,
12905807,20:16:40,20:16:40,1277,10,,0,0,3.4113
12905807,20:17:55,20:17:55,1279,11,,0,0,3.8103
12905807,20:19:39,20:19:39,56,12,,0,0,4.3659
12905807,20:20:25,20:20:25,12619,13,,0,0,4.61
12905807,20:20:55,20:20:55,58,14,,0,0,4.771
12905807,20:21:50,20:21:50,60,15,,0,0,5.0638
12905807,20:22:24,20:22:24,61,16,,0,0,5.2448
12905807,20:23:18,20:23:18,63,17,,0,0,5.534
12905807,20:23:52,20:23:52,64,18,,0,0,5.7171
12905807,20:25:20,20:25:20,12040,19,,0,0,6.1851
12905807,20:07:02,20:07:02,378,2,,0,0,0.33
12905807,20:26:24,20:26:24,10542,20,,0,0,6.5242
12905807,20:27:30,20:27:30,69,21,,0,0,6.8763
12905807,20:28:02,20:28:02,70,22,,0,0,7.0484
12905807,20:29:09,20:29:09,72,23,,0,0,7.4065
