trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
12960508, 7:36:00, 7:36:00,8052,14,,0,0,17.8544
12960508, 7:39:00, 7:39:00,8053,15,,0,0,20.7834
12960508, 7:41:00, 7:41:00,8054,16,,0,0,21.3876
12960508, 7:44:00, 7:44:00,8580,17,,0,0,23.9942
12960508, 7:46:00, 7:46:00,8578,18,,0,0,25.1103
12960508, 7:49:00, 7:49:00,8746,19,,0,0,27.2062
12960508, 7:12:00, 7:12:00,8040,2,,0,0,0.6698
12960508, 7:51:00, 7:51:00,8747,20,,1,0,28.8865
12960508, 7:13:00, 7:13:00,8041,3,,0,0,1.0587
12960508, 7:14:00, 7:14:00,8042,4,,0,0,1.7103
12960508, 7:16:00, 7:16:00,8043,5,,0,0,2.7606
12960508, 7:20:00, 7:20:00,8044,6,,0,0,5.4806
12960508, 7:22:00, 7:22:00,8045,7,,0,0,7.4936
12960508, 7:23:00, 7:23:00,8046,8,,0,0,8.3399
12960508, 7:25:00, 7:25:00,8047,9,,0,0,9.577
12960509, 7:12:00, 7:12:00,8039,1,,0,0,
12960509, 7:29:00, 7:29:00,8048,10,,0,0,11.2779
12960509, 7:31:00, 7:31:00,8049,11,,0,0,12.071
12960509, 7:33:00, 7:33:00,8050,12,,0,0,13.3735
12960509, 7:36:00, 7:36:00,8051,13,,0,0,15.8556
12960509, 7:38:00, 7:38:00,8052,14,,0,0,17.8544
12960509, 7:41:00, 7:41:00,8053,15,,0,0,20.7834
12960509, 7:43:00, 7:43:00,8054,16,,0,0,21.3876
12960509, 7:46:00, 7:46:00,8055,17,,0,0,23.8762
12960509, 7:48:00, 7:48:00,8056,18,,0,0,26.2106
12960509, 7:50:00, 7:50:00,8057,19,,0,0,27.3005
12960509, 7:14:00, 7:14:00,8040,2,,0,0,0.6698
12960509, 7:52:00, 7:52:00,8058,20,,1,0,28.136
12960509, 7:15:00, 7:15:00,8041,3,,0,0,1.0587
12960509, 7:17:00, 7:17:00,8042,4,,0,0,1.7103
12960509, 7:19:00, 7:19:00,8043,5,,0,0,2.7606
12960509, 7:22:00, 7:22:00,8044,6,,0,0,5.4806
12960509, 7:24:00, 7:24:00,8045,7,,0,0,7.4936
12960509, 7:26:00, 7:26:00,8046,8,,0,0,8.3399
12960509, 7:27:00, 7:27:00,8047,9,,0,0,9.577
12960510, 7:08:00, 7:08:00,8039,1,,0,0,
12960510, 7:25:00, 7:25:00,8048,10,,0,0,11.2779
12960510, 7:26:00, 7:26:00,8049,11,,0,0,12.071
12960510, 7:28:00, 7:28:00,8050,12,,0,0,13.3735
12960510, 7:31:00, 7:31:00,8051,13,,0,0,15.8556
12960510, 7:34:00, 7:34:00,8052,14,,0,0,17.8544
12960510, 7:37:00, 7:37:00,8053,15,,0,0,20.7834
12960510, 7:38:00, 7:38:00,8054,16,,0,0,21.3876
12960510, 7:41:00, 7:41:00,8055,17,,0,0,23.8762
12960510, 7:44:00, 7:44:00,8056,18,,0,0,26.2106
12960510, 7:46:00, 7:46:00,8057,19,,0,0,27.3005
12960510, 7:09:00, 7:09:00,8040,2,,0,0,0.6698
12960510, 7:47:00, 7:47:00,8058,20,,1,0,28.136
12960510, 7:11:00, 7:11:00,8041,3,,0,0,1.0587
12960510, 7:12:00, 7:12:00,8042,4,,0,0,1.7103
12960510, 7:14:00, 7:14:00,8043,5,,0,0,2.7606
12960510, 7:17:00, 7:17:00,8044,6,,0,0,5.4806
12960510, 7:20:00, 7:20:00,8045,7,,0,0,7.4936
12960510, 7:21:00, 7:21:00,8046,8,,0,0,8.3399
12960510, 7:23:00, 7:23:00,8047,9,,0,0,9.577
12960511, 7:05:00, 7:05:00,8039,1,,0,0,
12960511, 7:23:00, 7:23:00,8048,10,,0,0,11.2779
12960511, 7:24:00, 7:24:00,8049,11,,0,0,12.071
12960511, 7:26:00, 7:26:00,8050,12,,0,0,13.3735
12960511, 7:29:00, 7:29:00,8051,13,,0,0,15.8556
12960511, 7:32:00, 7:32:00,8052,14,,0,0,17.8544
12960511, 7:35:00, 7:35:00,8053,15,,0,0,20.7834
12960511, 7:36:00, 7:36:00,8054,16,,0,0,21.3876
12960511, 7:39:00, 7:39:00,8055,17,,0,0,23.8762
12960511, 7:42:00, 7:42:00,8056,18,,0,0,26.2106
12960511, 7:43:00, 7:43:00,8057,19,,0,0,27.3005
12960511, 7:07:00, 7:07:00,8040,2,,0,0,0.6698
12960511, 7:45:00, 7:45:00,8058,20,,1,0,28.136
12960511, 7:08:00, 7:08:00,8041,3,,0,0,1.0587
12960511, 7:10:00, 7:10:00,8042,4,,0,0,1.7103
12960511, 7:12:00, 7:12:00,8043,5,,0,0,2.7606
12960511, 7:15:00, 7:15:00,8044,6,,0,0,5.4806
12960511, 7:17:00, 7:17:00,8045,7,,0,0,7.4936
12960511, 7:19:00, 7:19:00,8046,8,,0,0,8.3399
12960511, 7:21:00, 7:21:00,8047,9,,0,0,9.577
12960512, 7:03:00, 7:03:00,8039,1,,0,0,
12960512, 7:21:00, 7:21:00,8048,10,,0,0,11.2779
12960512, 7:22:00, 7:22:00,8049,11,,0,0,12.071
12960512, 7:24:00, 7:24:00,8050,12,,0,0,13.3735
12960512, 7:27:00, 7:27:00,8051,13,,0,0,15.8556
12960512, 7:29:00, 7:29:00,8052,14,,0,0,17.8544
12960512, 7:32:00, 7:32:00,8053,15,,0,0,20.7834
12960512, 7:34:00, 7:34:00,8054,16,,0,0,21.3876
12960512, 7:37:00, 7:37:00,8580,17,,0,0,23.9942
12960512, 7:39:00, 7:39:00,8578,18,,0,0,25.1103
